rowNo,sourceName,targetName,rawPercent,confidence,문제유형,flag_이상한회사명,flag_중복edge,flag_columnSum초과기여,PDF 확인값 입력칸,채택/제외,검토메모
2,삼성 18,삼성에프엔 0,18.7,medium,이상한 회사명,Y,,,,,
3,제일 3,삼성 1,3,medium,이상한 회사명,Y,,,,,
4,멀티 삼성 67,휴먼 0,67.5,low,이상한 회사명,Y,,,,,
5,삼성,삼성카드 100,100,low,이상한 회사명,Y,,,,,
6,삼성,에스비티엠,16.3,low,일반 검토,,,,,,
7,삼성 1,삼성 17,1.9,low,이상한 회사명 | 중복 edge,Y,Y,,,,
8,삼성 1,삼성 17,1.3,low,이상한 회사명 | 중복 edge,Y,Y,,,,
9,삼성 1,제일 3,1,low,이상한 회사명,Y,,,,,
10,삼성 16,삼성,16.7,low,이상한 회사명,Y,,,,,
11,삼성 3,호텔 1,3,low,이상한 회사명,Y,,,,,
12,삼성 31,삼성화재 삼성화재 삼성화재,31.2,low,이상한 회사명,Y,,,,,
13,삼성에프엔 0,삼성,0.4,low,이상한 회사명,Y,,,,,
14,삼성전자 100 100,멀티 삼성 67,100,low,이상한 회사명 | 중복 edge | column sum 초과 기여,Y,Y,Y,,,
15,삼성전자 100 100,멀티 삼성 67,50,low,이상한 회사명 | 중복 edge | column sum 초과 기여,Y,Y,Y,,,
16,삼성전자 50,에스유 에스디,50,low,이상한 회사명,Y,,,,,
17,삼성카드 100,미라콤 83,100,low,이상한 회사명,Y,,,,,
18,은 상장회사,삼성,1,low,이상한 회사명,Y,,,,,
19,호텔 1,삼성생명 삼성,1.3,low,이상한 회사명,Y,,,,,
